job_id,job_title,job_title_short,company_name,job_location,job_schedule_type,salary_year_avg,job_posted_date
196142,Principal Machine Learning Engineer,Machine Learning Engineer,Locus Robotics,"Waterloo, ON, Canada",Full-time,225000,2/12/2023 10:40
1482761,"Senior or Principal Software Development Engineer, Machine Learning",Software Engineer,Workday,"Vancouver, BC, Canada",Full-time,200000,4/18/2023 8:14
743109,Machine Learning Engineer,Machine Learning Engineer,Autodesk,Canada,Full-time,190000,11/11/2023 2:31
831474,Staff Machine Learning Engineer,Machine Learning Engineer,Momentive Global Inc.,"Ottawa, ON, Canada",Full-time,175000,5/2/2023 8:22
1495523,Staff Machine Learning Data Engineer,Data Engineer,Momentive Global Inc.,"Ottawa, ON, Canada",Full-time,175000,7/25/2023 8:20
580377,Senior Machine Learning Engineer,Machine Learning Engineer,Greenhouse,Canada,Full-time,166000,3/15/2023 12:16
1331093,Staff Machine Learning Engineer - Ads,Machine Learning Engineer,Nextdoor,"Toronto, ON, Canada",Full-time,166000,6/5/2023 23:15
664035,Senior Machine Learning Engineer,Machine Learning Engineer,SoundHound Inc.,Canada,Full-time,166000,7/1/2023 12:09
528382,Machine Learning Engineer,Machine Learning Engineer,Block,Canada,Full-time,166000,1/30/2023 14:17
762618,Machine Learning Engineer,Machine Learning Engineer,Prenuvo,"Vancouver, BC, Canada",Full-time,166000,4/19/2023 7:17
1174059,Senior Machine Learning Engineer,Machine Learning Engineer,GeoComply,"Toronto, ON, Canada",Full-time,166000,4/20/2023 14:08
157256,Senior Machine Learning Engineer,Machine Learning Engineer,Extreme Networks,"Toronto, ON, Canada",Full-time,166000,6/2/2023 13:32
194346,"Machine Learning Engineer, ML Platform",Machine Learning Engineer,Recursion,"Toronto, ON, Canada",Full-time,166000,2/1/2023 23:55
274945,Senior Machine Learning Engineer (Modeling),Machine Learning Engineer,Block,Canada,Full-time,166000,7/4/2023 14:10
1769722,Machine Learning Engineer,Machine Learning Engineer,DRW,"Montreal, QC, Canada",Full-time,166000,7/20/2023 1:13
